                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0173,                  11.08,                      0,                0.77516,                 1.2949,                0.99738,                      1,                  0.995,                0.89635,                      0,                      0,                      0,                      0,                 0.5205,                 10.943,                      0,                0.27847,                0.92156,                  8e-05,                  8e-05,                  8e-05
                      2,                0.78958,                  10.68,                      0,                0.56708,                 1.1226,                0.99755,                      1,                  0.995,                 0.8784,                      0,                      0,                      0,                      0,                0.49343,                 10.868,                      0,                0.34985,                0.90018,             0.00017822,             0.00017822,             0.00017822
                      3,                0.71565,                  10.31,                      0,                0.58588,                  1.125,                0.99765,                      1,                  0.995,                0.85563,                      0,                      0,                      0,                      0,                0.60343,                 10.832,                      0,                0.42186,                0.98352,             0.00027446,             0.00027446,             0.00027446
                      4,                 0.7624,                 9.8816,                      0,                0.56307,                 1.0909,                 0.9638,                      1,                0.99306,                 0.8591,                      0,                      0,                      0,                      0,                0.59347,                 10.712,                      0,                0.47821,                0.94551,             0.00036871,             0.00036871,             0.00036871
                      5,                0.76882,                 9.6689,                      0,                0.62661,                 1.0769,                0.99732,                      1,                  0.995,                0.83303,                      0,                      0,                      0,                      0,                0.63948,                 10.535,                      0,                0.45231,                0.96821,             0.00046099,             0.00046099,             0.00046099
                      6,                0.80734,                 9.4962,                      0,                0.64536,                  1.093,                0.96462,                      1,                0.99306,                0.84482,                      0,                      0,                      0,                      0,                0.57963,                 10.411,                      0,                0.46322,                0.97416,             0.00055129,             0.00055129,             0.00055129
                      7,                0.79671,                 9.3904,                      0,                0.65654,                 1.1217,                0.99779,                      1,                  0.995,                0.79601,                      0,                      0,                      0,                      0,                0.74893,                 9.8517,                      0,                0.48317,                 1.1577,             0.00063961,             0.00063961,             0.00063961
                      8,                0.88536,                 9.1876,                      0,                0.61341,                 1.1528,                      1,                0.95931,                0.99312,                0.83742,                      0,                      0,                      0,                      0,                0.70032,                 9.5061,                      0,                0.50263,                 1.0423,             0.00072595,             0.00072595,             0.00072595
                      9,                 1.0382,                 9.2924,                      0,                0.70941,                 1.2918,                0.98752,                      1,                  0.995,                0.70967,                      0,                      0,                      0,                      0,                0.93905,                 9.3286,                      0,                0.69249,                 1.2275,              0.0008103,              0.0008103,              0.0008103
                     10,                0.88966,                 8.8928,                      0,                0.61316,                 1.1092,                0.90765,                      1,                0.99306,                0.73406,                      0,                      0,                      0,                      0,                0.90734,                 9.4271,                      0,                 1.1258,                 1.2872,             0.00089268,             0.00089268,             0.00089268
                     11,                0.88475,                 8.5754,                      0,                0.64974,                 1.1707,                0.99103,                      1,                  0.995,                0.77983,                      0,                      0,                      0,                      0,                0.81041,                 9.0474,                      0,                0.95168,                 1.1555,             0.00097308,             0.00097308,             0.00097308
                     12,                0.99036,                  8.824,                      0,                0.65708,                 1.2131,                 0.9952,                      1,                  0.995,                0.71727,                      0,                      0,                      0,                      0,                0.95843,                 9.2925,                      0,                0.99998,                 1.3097,              0.0010515,              0.0010515,              0.0010515
                     13,                0.89144,                 8.5407,                      0,                0.64397,                 1.1138,                0.96426,                      1,                0.99081,                0.67906,                      0,                      0,                      0,                      0,                  1.016,                 8.9448,                      0,                 1.2615,                 1.3714,              0.0011279,              0.0011279,              0.0011279
                     14,                0.94475,                 8.0633,                      0,                0.69499,                 1.1568,                0.72689,                0.97607,                0.94799,                0.65429,                      0,                      0,                      0,                      0,                 1.1664,                 8.8344,                      0,                 1.7528,                 1.6195,              0.0012024,              0.0012024,              0.0012024
                     15,                0.85191,                 8.3241,                      0,                0.58106,                 1.1175,                0.96845,                      1,                  0.995,                0.76451,                      0,                      0,                      0,                      0,                0.86076,                 8.6196,                      0,                 0.9216,                 1.3129,              0.0012749,              0.0012749,              0.0012749
                     16,                0.98893,                 8.5802,                      0,                0.71266,                  1.194,                0.90561,                      1,                0.96127,                0.69318,                      0,                      0,                      0,                      0,                0.93338,                 8.5058,                      0,                 1.1152,                 1.3692,              0.0013454,              0.0013454,              0.0013454
                     17,                0.97521,                 8.1154,                      0,                 0.7431,                 1.2191,                0.90158,                      1,                0.98688,                0.71263,                      0,                      0,                      0,                      0,                0.93115,                 8.5303,                      0,                 1.0609,                 1.4336,              0.0014139,              0.0014139,              0.0014139
                     18,                  1.024,                 8.1664,                      0,                0.75201,                 1.1807,                0.90725,                0.97837,                0.98894,                0.73479,                      0,                      0,                      0,                      0,                0.87326,                 8.3148,                      0,                 1.1629,                  1.311,              0.0014804,              0.0014804,              0.0014804
                     19,                0.96949,                 8.1124,                      0,                0.74283,                 1.2098,                0.84785,                0.96667,                0.96692,                0.67793,                      0,                      0,                      0,                      0,                0.91275,                 7.9456,                      0,                 1.2798,                 1.3072,               0.001545,               0.001545,               0.001545
                     20,                0.92535,                 8.0487,                      0,                0.73249,                 1.2344,                      1,                0.98151,                  0.995,                0.74473,                0.03924,                0.03333,                0.00444,                0.00089,                0.95616,                 7.8724,                      0,                0.91495,                  1.303,              0.0016076,              0.0016076,              0.0016076
                     21,                 1.0312,                 7.6696,                      0,                0.72933,                 1.2274,                0.96634,                0.95733,                0.96465,                0.66063,                0.04245,                0.03333,                0.00433,                0.00043,                 1.1483,                 7.6381,                      0,                0.90502,                 1.5357,               0.001604,               0.001604,               0.001604
                     22,                0.96257,                 7.7528,                      0,                0.72306,                 1.2174,                0.84258,                    0.9,                0.94366,                0.57395,                0.03139,                0.03333,                0.00245,                0.00025,                 1.2605,                 7.2844,                      0,                 1.0828,                 1.6573,              0.0015842,              0.0015842,              0.0015842
                     23,                0.92706,                 7.5739,                      0,                0.71755,                  1.206,                0.88508,                0.96667,                 0.9536,                0.54641,                0.06957,                0.03333,                0.00777,                0.00155,                 1.1795,                 7.1503,                      0,                0.91431,                  1.579,              0.0015644,              0.0015644,              0.0015644
                     24,                0.89572,                 7.1277,                      0,                0.67557,                  1.177,                0.96908,                0.96667,                0.97975,                0.72696,                      0,                      0,                      0,                      0,                0.87666,                 7.6374,                      0,                 1.0336,                 1.2566,              0.0015446,              0.0015446,              0.0015446
                     25,                0.94678,                 7.2424,                      0,                0.72482,                 1.1588,                0.95617,                0.96667,                0.97301,                0.73999,                      0,                      0,                      0,                      0,                0.79813,                 7.3661,                      0,                 0.9791,                 1.2138,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.0054,                 6.9478,                      0,                0.70422,                  1.221,                0.88148,                0.93333,                0.95907,                0.74251,                0.04776,                0.03333,                0.00325,                0.00032,                0.88348,                 6.7039,                      0,                0.89542,                 1.2443,               0.001505,               0.001505,               0.001505
                     27,                0.90305,                 7.0125,                      0,                0.66669,                 1.1552,                0.90232,                0.93333,                0.94638,                0.62962,                0.14888,                0.13333,                0.02868,                0.00309,                 1.0383,                 6.4854,                      0,                0.94783,                 1.3617,              0.0014852,              0.0014852,              0.0014852
                     28,                0.82724,                 7.2519,                      0,                0.66489,                 1.0986,                 0.7364,                0.93333,                0.88817,                0.57702,                0.11542,                0.16667,                0.02433,                0.00257,                  1.033,                 6.6737,                      0,                 1.1041,                 1.3907,              0.0014654,              0.0014654,              0.0014654
                     29,                0.92865,                 6.8448,                      0,                 0.7214,                 1.1408,                0.77674,                0.96667,                0.91761,                0.57763,                0.05553,                0.06667,                0.00628,                0.00063,                 1.0735,                  6.564,                      0,                  1.155,                 1.4316,              0.0014456,              0.0014456,              0.0014456
                     30,                0.90642,                  6.842,                      0,                0.68347,                   1.17,                0.84122,                0.96667,                0.92688,                0.60189,                      0,                      0,                      0,                      0,                 1.0328,                 6.7536,                      0,                0.94326,                 1.4133,              0.0014258,              0.0014258,              0.0014258
                     31,                0.84318,                 6.9755,                      0,                0.60855,                 1.0715,                0.87767,                0.96667,                0.95189,                0.67194,                 0.1849,                0.16667,                0.09192,                0.00919,                0.98597,                 6.2149,                      0,                 0.8361,                 1.3859,               0.001406,               0.001406,               0.001406
                     32,                0.88611,                 6.5021,                      0,                0.66634,                 1.1421,                0.75793,                    0.9,                 0.8827,                0.50611,                0.08997,                0.16667,                0.01973,                0.00244,                 1.1523,                 6.0641,                      0,                 1.1244,                  1.518,              0.0013862,              0.0013862,              0.0013862
                     33,                0.86984,                 6.7297,                      0,                0.66737,                 1.1384,                0.87222,                0.86667,                0.95617,                0.61838,                 0.0927,                    0.1,                0.01965,                0.00237,                 1.0936,                 6.1792,                      0,                0.84559,                 1.4553,              0.0013664,              0.0013664,              0.0013664
                     34,                0.87186,                 6.8069,                      0,                0.66695,                  1.129,                0.92489,                0.96667,                0.98042,                0.71024,                 0.1624,                0.13333,                0.04913,                0.00717,                0.96811,                 5.9958,                      0,                0.71536,                 1.2681,              0.0013466,              0.0013466,              0.0013466
